what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1342725510691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725514326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725514378
error,log,,,"Internal Error",1342725514384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725515294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725515349
error,log,,,"Internal Error",1342725515355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725516033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725516077
error,log,,,"Internal Error",1342725516086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725516548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725516601
error,log,,,"Internal Error",1342725516611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725517038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725517087
error,log,,,"Internal Error",1342725517095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725517545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725517602
error,log,,,"Internal Error",1342725517609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725518153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725518200
error,log,,,"Internal Error",1342725518208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725519084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725519137
error,log,,,"Internal Error",1342725519144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725519701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725519756
error,log,,,"Internal Error",1342725519763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725520286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725520337
error,log,,,"Internal Error",1342725520343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725521351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725521408
error,log,,,"Internal Error",1342725521414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725521948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725521988
error,log,,,"Internal Error",1342725521994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725522440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725522496
error,log,,,"Internal Error",1342725522504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725522916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725522968
error,log,,,"Internal Error",1342725522975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725523416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725523459
error,log,,,"Internal Error",1342725523466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725523903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725523960
error,log,,,"Internal Error",1342725523967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725524360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725524409
error,log,,,"Internal Error",1342725524416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725526273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725526520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725528395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725528459
error,log,,,"Internal Error",1342725528465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342725541254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342725541800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342725542117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725550675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725565539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725570148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725581662
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1342725581777
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1342725581838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342725582924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725585001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725588423
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1342725588632
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1342725588649
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1342725590096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342725591479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725593469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725594109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725595450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725595499
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342725599764
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1342725612424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725634823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725638498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725640613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725640813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725679751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725739929
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342725770476
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1342725860559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725951114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725996885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342725998206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342726000628
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1342726000655
